326305,AMIL,29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,Ativa,5672931,Operadora médico-hospitalar,Medicina de Grupo,"0,8763",3595279,2077652,17/12/1998,14971904149,12810723276,"9,4","5,7",906,"4023739193,47","12345618316,26","16369357509,73","3889791867,62","779880992,40","11699684649,71","16369357509,73","2950487794,40","3173726264,75"
005711,BRADESCO SAUDE S.A.,92693118000160,BRADESCO SAÚDE S.A.,Ativa,3349164,Operadora médico-hospitalar,Seguradora Especializada em Saúde,"0,8996",3349164,0,16/12/1998,16035311130,14430423120,"7,7","0,0",902,"3699214451,03","14973502042,12","18672716493,15","6918796417,79","4470516833,81","7283403241,55","18672716493,15","9871157180,79","9360971529,07"
368253,HAPVIDA,63554067000198,HAPVIDA ASSISTENCIA MEDICA LTDA,Ativa,4049547,Operadora médico-hospitalar,Medicina de Grupo,"0,7518",2374242,1675305,17/12/1998,3444155012,2413930161,"5,6","6,0",329,"1168622832,49","1274935150,78","2443557983,27","909630619,14","212519947,85","1321407416,28","2443557983,27","708693650,56","402071491,70"
359017,NOTRE DAME INTERMÉDICA SAÚDE S.A.,44649812000138,NOTRE DAME INTERMÉDICA SAÚDE S.A.,Ativa,3914916,Operadora médico-hospitalar,Medicina de Grupo,"0,7453",2049402,1865514,16/12/1998,4072218416,3039898338,"5,8","8,2",400,"1885896103,12","2648802335,66","4534698438,78","1313022574,65","1226710741,90","1994965122,23","4534698438,78","809428009,05","552226744,56"
006246,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,Ativa,2652436,Operadora médico-hospitalar,Seguradora Especializada em Saúde,"0,8427",1792325,860111,16/12/1998,11395175728,9322554814,"11,4","7,5",440,"5511449587,57","4957218843,41","10468668430,98","3573334583,90","1568721329,42","5326612517,66","10468668430,98","3117462390,87","2750149105,92"
339679,CENTRAL NACIONAL UNIMED,02812468000106,CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL,Ativa,1518671,Operadora médico-hospitalar,Cooperativa Médica,"0,8249",1518671,0,17/12/1998,3298365682,2906809121,"4,0","0,0",227,"1360392402,48","533420328,02","1893812730,50","1000234503,94","191103517,81","702474708,75","1893812730,50","913892288,58","805906592,74"
343889,UNIMED BH,16513178000176,UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO,Ativa,1557076,Operadora médico-hospitalar,Cooperativa Médica,"0,9328",1235006,322070,16/12/1998,2874287010,2188114705,"15,1","8,3",108,"912693780,69","2207679998,81","3120373779,50","688361283,96","609985581,69","1822026913,85","3120373779,50","655285857,99","567378059,72"
393321,UNIMED RIO COOPERATIVA DE TRABALHO MEDICO DO RJ LTDA,42163881000101,UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO,Ativa,744863,Operadora médico-hospitalar,Cooperativa Médica,,709828,35035,16/12/1998,3739744409,3077060332,"25,0","9,4",230,"410653023,40","1432683840,48","1843336863,88","1581534915,82","1098161582,72","836359634,66","1843336863,88","1173476237,63","76284677,93"
346659,CASSI,33719485000127,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,Ativa,675116,Operadora médico-hospitalar,Autogestão,"0,7943",675116,0,29/12/1998,3642796412,3937716460,"24,0","0,0",193,"833948823,84","594095714,58","1428044538,42","1542093549,88","103588841,42","217637852,88","1428044538,42","1120483915,22","848186203,28"
352501,UNIMED PORTO ALEGRE,87096616000196,UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.,Ativa,739310,Operadora médico-hospitalar,Cooperativa Médica,"0,8941",638956,100354,21/12/1998,1791305907,1449913872,"14,2","4,8",26,"1049071765,34","213106162,03","1262177927,37","491129273,07","82264167,79","688784486,51","1262177927,37","349220186,18","370558726,27"
