"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",25/02/2001,UNIMED DE TATUI COOPERATIVA DE TRABALHO MEDICO,SP,"[{""qual"":""16-Presidente"",""nome"":""EDER BALLIARI""},{""qual"":""10-Diretor"",""nome"":""THYRSO MENEZES DA SILVA JUNIOR""},{""qual"":""10-Diretor"",""nome"":""CARLOS ALBERTO DOS SANTOS""}]",ATIVA,CENTRO,R CEL AURELIANO DE CAMARGO,645,18.270-170,TATUI,DEMAIS,19/05/1994,214-3 - Cooperativa,00.006.037/0001-27,2019-03-21T10:26:59.958Z,OK,MATRIZ,,,,,,,,,"[{""code"":""00.00-0-00"",""text"":""Não informada""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",03/11/2005,UNIMED DE PENAPOLIS COOPERATIVA DE TRABALHO MEDICO,SP,"[{""qual"":""16-Presidente"",""nome"":""CLEUER JACOB MORETTO""},{""qual"":""10-Diretor"",""nome"":""LUCAS DE OLIVEIRA QUESSADA""},{""qual"":""10-Diretor"",""nome"":""CARLOS AUGUSTO DE FELIPPE VALENTE""}]",ATIVA,CENTRO,R DR. RAMALHO FRANCO,753,16.300-001,PENAPOLIS,DEMAIS,31/05/1994,214-3 - Cooperativa,00.012.698/0001-65,2019-03-15T12:13:46.794Z,OK,MATRIZ,UNIMED DE PENAPOLIS,,,,,,,,"[{""code"":""00.00-0-00"",""text"":""Não informada""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",03/11/2005,ASS POLICIAL DE ASSISTENCIA A SAUDE DA BAIXADA SANTISTA,SP,"[{""qual"":""16-Presidente"",""nome"":""JAIRO DE ALMEIDA LIMA""}]",ATIVA,VILA BELMIRO,R CARVALHO DE MENDONCA,335,11.070-101,SANTOS,DEMAIS,06/09/1994,399-9 - Associação Privada,00.034.259/0001-53,2019-02-28T18:37:45.221Z,OK,MATRIZ,APAS,,,(13) 3224-5753,,,,,"[{""text"":""Atividades associativas não especificadas anteriormente"",""code"":""94.99-5-00""},{""text"":""Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências"",""code"":""86.10-1-02""},{""text"":""Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"",""code"":""86.10-1-01""},{""text"":""Serviços de radioterapia"",""code"":""86.40-2-11""},{""text"":""Serviços de quimioterapia"",""code"":""86.40-2-10""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Transmissão de energia elétrica"",""code"":""35.12-3-00""}]",03/11/2005,ELETROSUL CENTRAIS ELETRICAS S/A,SC,"[{""qual"":""16-Presidente"",""nome"":""GILBERTO ODILON EGGERS""},{""qual"":""10-Diretor"",""nome"":""TOME AUMARY GREGORIO""},{""qual"":""10-Diretor"",""nome"":""ROGERIO BONINI RUIZ""},{""qual"":""10-Diretor"",""nome"":""JAIME DE SOUZA""},{""qual"":""10-Diretor"",""nome"":""MARCOS ROMEU BENEDETTI""}]",ATIVA,PANTANAL,R DEP ANTONIO EDU VIEIRA,999,88.040-901,FLORIANOPOLIS,DEMAIS,31/07/1973,203-8 - Sociedade de Economia Mista,00.073.957/0001-68,2019-02-14T14:15:43.094Z,OK,MATRIZ,ELETROSUL,,,,UNIÃO,,,,"[{""text"":""Geração de energia elétrica"",""code"":""35.11-5-01""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",22/10/2005,UNIMED LITORAL SUL/RS - COOPERATIVA MEDICA LTDA,RS,"[{""qual"":""16-Presidente"",""nome"":""CARLOS DA SILVA FARIA""},{""qual"":""10-Diretor"",""nome"":""LUIZ ANTONIO DAPUZZO SPOTORNO""},{""qual"":""10-Diretor"",""nome"":""LUIZ FERNANDO LIBORIO HORMAIN""},{""qual"":""10-Diretor"",""nome"":""JOSE CARLOS HENRIQUE DUARTE DOS SANTOS""}]",ATIVA,CENTRO,R AQUIDABAN,692,96.200-480,RIO GRANDE,DEMAIS,01/07/1994,214-3 - Cooperativa,00.103.956/0001-19,2019-03-13T13:43:43.190Z,OK,MATRIZ,UNIMED LITORAL SUL/RS,,,,,,,,"[{""text"":""Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos"",""code"":""86.30-5-01""},{""text"":""Atividade médica ambulatorial com recursos para realização de exames complementares"",""code"":""86.30-5-02""},{""text"":""Atividade médica ambulatorial restrita a consultas"",""code"":""86.30-5-03""},{""text"":""Atividades de atenção ambulatorial não especificadas anteriormente"",""code"":""86.30-5-99""},{""text"":""Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências"",""code"":""86.10-1-02""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",03/11/2005,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MEDICO LTDA,RJ,"[{""qual"":""10-Diretor"",""nome"":""MARCOS JOSE MACHADO DOS SANTOS""},{""qual"":""10-Diretor"",""nome"":""SAINT CLAIR PINTO COELHO""},{""qual"":""10-Diretor"",""nome"":""ELSON LUIZ GATTO POLO""},{""qual"":""10-Diretor"",""nome"":""VICTHOR BARRETO NAMETALA""},{""qual"":""10-Diretor"",""nome"":""CARLOS ALBERTO PEIXOTO DE FIGUEIREDO JUNIOR""},{""qual"":""10-Diretor"",""nome"":""JOAO ALCINO DA COSTA ABREU""}]",ATIVA,CENTRO,R MAJOR FELIX MOREIRA,39,28.970-000,ARARUAMA,DEMAIS,11/07/1994,214-3 - Cooperativa,00.111.826/0001-28,2019-02-13T18:13:58.142Z,OK,MATRIZ,,LOJA,arifin.@iptec.com.br,(24) 6652-515,,,,,"[{""code"":""00.00-0-00"",""text"":""Não informada""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",28/09/2002,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE BAURU,SP,"[{""qual"":""10-Diretor"",""nome"":""MARINALVO MARCOS PEREIRA""},{""qual"":""16-Presidente"",""nome"":""BENEDITO ROBERTO MEIRA""}]",ATIVA,CENTRO,R MARIA JOSE,1-71,17.015-440,BAURU,DEMAIS,17/08/1994,399-9 - Associação Privada,00.147.571/0001-53,2019-02-28T17:12:51.084Z,OK,MATRIZ,APAS-BAURU,,,,,,,,"[{""text"":""Atividades associativas não especificadas anteriormente"",""code"":""94.99-5-00""},{""text"":""Atividade médica ambulatorial restrita a consultas"",""code"":""86.30-5-03""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",08/11/2003,COOPERATIVA DE USUARIOS DE ASSISTENCIA MEDICO-HOSPITALAR LTDA - VIVAMED SAUDE,MG,"[{""qual"":""16-Presidente"",""nome"":""HELI DE OLIVEIRA PENIDO""},{""qual"":""10-Diretor"",""nome"":""SAULO MASCARENHAS RIBEIRO DE OLIVEIRA""}]",ATIVA,VALE DO SERENO,AL OSCAR NIEMEYER,436,34.006-049,NOVA LIMA,DEMAIS,19/08/1994,214-3 - Cooperativa,00.152.753/0001-12,2019-02-14T13:38:40.397Z,OK,MATRIZ,VIVAMED SAUDE,LOJA 01,contabilidade@vivamedsaude.com.br,(31) 3215-6000,,,,,"[{""text"":""Outras atividades de atenção à saúde humana não especificadas anteriormente"",""code"":""86.90-9-99""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Atividades de associações de defesa de direitos sociais"",""code"":""94.30-8-00""}]",26/08/2000,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),SP,"[{""qual"":""16-Presidente"",""nome"":""FRANCISCO BATISTA LEOPOLDO JUNIOR""}]",ATIVA,JARDIM BONGIOVANI,R PIONEIRO JOSE LORENCETE,420,19.050-350,PRESIDENTE PRUDENTE,DEMAIS,20/09/1994,399-9 - Associação Privada,00.200.720/0001-09,2018-12-19T19:22:12.835Z,OK,MATRIZ,APAS,,fernando.becegato@uol.com.br,(18) 3222-8246,,,,,"[{""text"":""Atividades de organizações associativas ligadas à cultura e à arte"",""code"":""94.93-6-00""},{""text"":""Atividades associativas não especificadas anteriormente"",""code"":""94.99-5-00""}]",0.00,{},"{""free"":true,""database"":true}"
"[{""text"":""Planos de saúde"",""code"":""65.50-2-00""}]",28/07/1998,SOCIAL - SOCIEDADE ASSISTENCIAL E CULTURAL,RS,"[{""qual"":""16-Presidente"",""nome"":""RAPHAEL DE SOUZA KRAETZIG""}]",ATIVA,BOM FIM,AV OSVALDO ARANHA,734,90.035-191,PORTO ALEGRE,DEMAIS,24/08/1994,399-9 - Associação Privada,00.211.378/0001-34,2019-01-09T21:33:15.805Z,OK,MATRIZ,SOCIAL,CONJ 201,diretoria@socialsaude.org.br,(51) 9948-0795,,,,,"[{""code"":""00.00-0-00"",""text"":""Não informada""}]",0.00,{},"{""free"":true,""database"":true}"
